# #(c) Patrick Heenan 
# #Extension (nm),	Extension (pN),	Count (N)
# 
5.4157964058e+01,-1.7006367302e+01,0.0000000000e+00
5.4355620861e+01,-1.7006367302e+01,0.0000000000e+00
5.4553277664e+01,-1.7006367302e+01,0.0000000000e+00
5.4750934467e+01,-1.7006367302e+01,0.0000000000e+00
5.4948591270e+01,-1.7006367302e+01,0.0000000000e+00
5.5146248074e+01,-1.7006367302e+01,0.0000000000e+00
5.5343904877e+01,-1.7006367302e+01,0.0000000000e+00
5.5541561680e+01,-1.7006367302e+01,0.0000000000e+00
5.5739218483e+01,-1.7006367302e+01,0.0000000000e+00
5.5936875286e+01,-1.7006367302e+01,0.0000000000e+00
5.6134532089e+01,-1.7006367302e+01,0.0000000000e+00
5.6332188892e+01,-1.7006367302e+01,0.0000000000e+00
5.6529845695e+01,-1.7006367302e+01,0.0000000000e+00
5.6727502499e+01,-1.7006367302e+01,0.0000000000e+00
5.6925159302e+01,-1.7006367302e+01,0.0000000000e+00
5.7122816105e+01,-1.7006367302e+01,0.0000000000e+00
5.7320472908e+01,-1.7006367302e+01,0.0000000000e+00
5.7518129711e+01,-1.7006367302e+01,0.0000000000e+00
5.7715786514e+01,-1.7006367302e+01,0.0000000000e+00
5.7913443317e+01,-1.7006367302e+01,0.0000000000e+00
5.8111100121e+01,-1.7006367302e+01,0.0000000000e+00
5.8308756924e+01,-1.7006367302e+01,0.0000000000e+00
5.8506413727e+01,-1.7006367302e+01,0.0000000000e+00
5.8704070530e+01,-1.7006367302e+01,0.0000000000e+00
5.8901727333e+01,-1.7006367302e+01,0.0000000000e+00
5.9099384136e+01,-1.7006367302e+01,0.0000000000e+00
0.0000000000e+00,-1.4837149210e+01,0.0000000000e+00
1.9765680313e-01,-1.4837149210e+01,0.0000000000e+00
3.9531360626e-01,-1.4837149210e+01,0.0000000000e+00
5.9297040939e-01,-1.4837149210e+01,0.0000000000e+00
7.9062721252e-01,-1.4837149210e+01,0.0000000000e+00
9.8828401566e-01,-1.4837149210e+01,0.0000000000e+00
1.1859408188e+00,-1.4837149210e+01,0.0000000000e+00
1.3835976219e+00,-1.4837149210e+01,0.0000000000e+00
1.5812544250e+00,-1.4837149210e+01,0.0000000000e+00
1.7789112282e+00,-1.4837149210e+01,0.0000000000e+00
1.9765680313e+00,-1.4837149210e+01,0.0000000000e+00
2.1742248344e+00,-1.4837149210e+01,0.0000000000e+00
2.3718816376e+00,-1.4837149210e+01,0.0000000000e+00
