# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
9.2398120590e+00,4.5256437883e+01,3.3598361821e+01,5.6914513945e+01
9.2844488322e+00,4.5304735901e+01,3.3598415375e+01,5.7011056427e+01
9.3290856055e+00,4.5350145580e+01,3.3598985733e+01,5.7101305426e+01
9.3737223787e+00,4.5392293916e+01,3.3599511780e+01,5.7185076053e+01
9.4183591519e+00,4.5430801012e+01,3.3599456073e+01,5.7262145951e+01
9.4629959252e+00,4.5465264751e+01,3.3598363328e+01,5.7332166173e+01
9.5076326984e+00,4.5495934266e+01,3.3596672141e+01,5.7395196392e+01
9.5522694716e+00,4.5523290272e+01,3.3595076023e+01,5.7451504520e+01
9.5969062449e+00,4.5547813480e+01,3.3594250949e+01,5.7501376010e+01
9.6415430181e+00,4.5569984603e+01,3.3594864706e+01,5.7545104500e+01
9.6861797913e+00,4.5590284354e+01,3.3597583569e+01,5.7582985139e+01
9.7308165646e+00,4.5609193446e+01,3.3603076409e+01,5.7615310483e+01
9.7754533378e+00,4.5627192593e+01,3.3612016287e+01,5.7642368899e+01
9.8200901110e+00,4.5644762506e+01,3.3625079579e+01,5.7664445432e+01
9.8647268843e+00,4.5662392405e+01,3.3642945534e+01,5.7681839276e+01
9.9093636575e+00,4.5680630105e+01,3.3666108128e+01,5.7695152082e+01
9.9540004307e+00,4.5699706358e+01,3.3694296222e+01,5.7705116495e+01
9.9986372040e+00,4.5719736874e+01,3.3727053500e+01,5.7712420248e+01
1.0043273977e+01,4.5740837355e+01,3.3763922852e+01,5.7717751858e+01
1.0087910750e+01,4.5763123504e+01,3.3804450865e+01,5.7721796142e+01
1.0132547524e+01,4.5786711022e+01,3.3848190912e+01,5.7725231132e+01
1.0177184297e+01,4.5811715613e+01,3.3894704562e+01,5.7728726665e+01
1.0221821070e+01,4.5838252979e+01,3.3943561303e+01,5.7732944656e+01
1.0266457843e+01,4.5866438823e+01,3.3994336545e+01,5.7738541101e+01
1.0311094617e+01,4.5896383485e+01,3.4046606549e+01,5.7746160421e+01
1.0355731390e+01,4.5928095920e+01,3.4100017255e+01,5.7756174584e+01
1.0400368163e+01,4.5961575195e+01,3.4154542977e+01,5.7768607413e+01
1.0445004936e+01,4.5996839629e+01,3.4210238291e+01,5.7783440967e+01
